                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.3189,                 1.1813,                 1.4489,                 1.3704,                  1.436,                 1.4359,                0.60687,                0.56557,                0.58828,                0.34656,                 1.5098,                 1.4552,                 1.6325,                 1.5107,                 1.5246,                 1.5538,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3635,                 1.2547,                 1.4818,                  1.379,                  1.469,                 1.4215,                  0.646,                0.68852,                0.71169,                0.39936,                 1.4378,                 1.1923,                 1.5893,                 1.4604,                 1.2743,                 1.5529,               0.001109,               0.001109,               0.001109
                     48,                 1.2794,                 1.1964,                 1.4275,                 1.3394,                 1.4039,                 1.4003,                 0.6807,                0.58197,                 0.6352,                0.35071,                 1.5587,                 1.2574,                 1.6592,                  1.542,                 1.4485,                 1.5481,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3028,                 1.1734,                  1.452,                 1.3803,                 1.3538,                 1.4355,                 0.6204,                0.68033,                0.68962,                0.39233,                 1.4662,                 1.1791,                 1.5884,                 1.5187,                 1.2605,                 1.5732,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.3137,                 1.1483,                 1.4384,                 1.3657,                 1.3762,                 1.4167,                0.70563,                0.64841,                0.69331,                0.38615,                 1.4665,                 1.1327,                  1.601,                 1.5337,                 1.2563,                 1.5553,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.3595,                 1.1826,                 1.4684,                 1.4194,                 1.3926,                 1.4531,                0.63675,                0.69672,                0.68408,                0.40123,                 1.4773,                 1.2059,                 1.5884,                 1.4285,                 1.3822,                 1.4964,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3187,                 1.2083,                 1.4599,                 1.3556,                 1.4253,                 1.4288,                0.70391,                0.66393,                0.70358,                0.40042,                 1.5058,                 1.1519,                 1.6093,                 1.4486,                  1.314,                   1.54,                0.00101,                0.00101,                0.00101
                     53,                 1.3459,                 1.1966,                 1.4784,                 1.3853,                  1.411,                  1.449,                0.68083,                0.63115,                0.70594,                0.40079,                 1.4031,                 1.3166,                 1.5221,                 1.4127,                 1.4334,                 1.4989,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.3343,                 1.2059,                 1.4509,                 1.3813,                 1.4356,                 1.4229,                0.66117,                0.63934,                0.67228,                0.39072,                 1.4556,                 1.2272,                 1.5769,                 1.4674,                 1.3375,                 1.5281,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3058,                 1.1599,                 1.4549,                 1.3446,                 1.3932,                 1.4321,                0.72742,                0.59061,                0.71189,                0.40951,                 1.4262,                 1.1107,                 1.5127,                 1.4153,                 1.3305,                 1.4562,              0.0009506,              0.0009506,              0.0009506
